id,full_name,year,manufacturer,model,country,class,pi,speed,handling,acceleration,launch,braking,offroad,power_hp,torque_lb_ft,weight_lb,engine,layout,price_cr,division,unlock,image_local_path,wiki_page
2020-ford-super-duty-f-450-drw-platinum-forza-edition,2020 Ford Super Duty F-450 DRW PLATINUM Forza Edition,2020,Ford,Super Duty F-450 DRW PLATINUM Forza Edition,United States,A,700,7.6,3.8,8.7,9.8,4.9,9.7,968,1815,6376,V8,"Front-Engined, All-Wheel Drive",500000,uo,,images/2020-ford-super-duty-f-450-drw-platinum-forza-edition.png,https://forza.fandom.com/wiki/Ford_Super_Duty_F-450_DRW_PLATINUM_Forza_Edition
2018-funco-motorsports-f9,2018 Funco F9,2018,Funco,F9,United States,S1,752,5.2,2.9,7.6,8.5,5.1,8.9,1750,1475,2800,V8,"Rear-Engined, Rear-Wheel Drive",300000,ub,journal,images/2018-funco-motorsports-f9.png,https://forza.fandom.com/wiki/Funco_Motorsports_F9
1970-gmc-jimmy,1970 GMC Jimmy,1970,GMC,Jimmy,United States,C,416,4.4,3.2,4.5,3.6,3.1,9.3,300,335,4007,V8,"Front-Engined, All-Wheel Drive",60000,p4,auto,images/1970-gmc-jimmy.png,https://forza.fandom.com/wiki/GMC_Jimmy
2021-hennessey-venom-f5,2021 Hennessey Venom F5,2021,Hennessey,Venom F5,United States,S2,870,10.0,8.0,6.5,7.0,8.2,4.6,1817,1193,3053,V8,"Mid-Engined, Rear-Wheel Drive",2050000,h,auto,images/2021-hennessey-venom-f5.png,https://forza.fandom.com/wiki/Hennessey_Venom_F5
2003-honda-s2000,2003 Honda S2000,2003,Honda,S2000,Japan,B,503,6.0,4.9,4.2,3.7,3.3,5.3,247,161,2756,I4,"Front-Engined, Rear-Wheel Drive",55000,msp,announced,images/2003-honda-s2000.png,https://forza.fandom.com/wiki/Honda_S2000
2007-honda-civic-type-r-2007,2007 Honda Civic Type R,2007,Honda,Civic Type R,Japan,C,454,5.3,5.0,4.0,3.2,3.7,5.5,198,142,2965,I4,"Front-Engined, Front-Wheel Drive",17000,Hot Hatch,announced,images/2007-honda-civic-type-r-2007.png,https://forza.fandom.com/wiki/Honda_Civic_Type_R_%282007%29
1993-jaguar-xj220s-twr,1993 Jaguar XJ220S TWR,1993,Jaguar,XJ220S TWR,United Kingdom,,,,,,,,,680,526,2379,V6,"Mid-Engined, Rear-Wheel Drive",,,announced,images/1993-jaguar-xj220s-twr.png,https://forza.fandom.com/wiki/Jaguar_XJ220S_TWR
2012-jeep-wrangler-rubicon-traffic,2012 Jeep Wrangler Rubicon,2012,Jeep,Wrangler Rubicon,United States,,,,,,,,,,,,,,,,,images/2012-jeep-wrangler-rubicon-traffic.png,https://forza.fandom.com/wiki/Jeep_Wrangler_Rubicon_%28Traffic%29
2016-jeep-trailcat,2016 Jeep Trailcat,2016,Jeep,Trailcat,United States,,,700.0,,,,,,707,650,4600,V8,"Front-Engined, All-Wheel Drive",,,announced,images/2016-jeep-trailcat.png,https://forza.fandom.com/wiki/Jeep_Trailcat
2018-jeep-grand-cherokee-trackhawk,2018 Jeep Grand Cherokee Trackhawk,2018,Jeep,Grand Cherokee Trackhawk,United States,,,,,,,,,707,645,5350,V8,"Front-Engined, All-Wheel Drive",,,announced,images/2018-jeep-grand-cherokee-trackhawk.png,https://forza.fandom.com/wiki/Jeep_Grand_Cherokee_Trackhawk
2011-koenigsegg-agera,2011 Koenigsegg Agera,2011,Koenigsegg,Agera,Sweden,,,,,,,,,946,811,3164,V8,"Mid-Engined, Rear-Wheel Drive",,,announced,images/2011-koenigsegg-agera.png,https://forza.fandom.com/wiki/Koenigsegg_Agera
2015-koenigsegg-one-1,2015 Koenigsegg One:1,2015,Koenigsegg,One:1,Sweden,,,,,,,,,1360,1011,2998,V8,"Mid-Engined, Rear-Wheel Drive",,,announced,images/2015-koenigsegg-one-1.png,https://forza.fandom.com/wiki/Koenigsegg_One%3A1
2016-koenigsegg-regera,2016 Koenigsegg Regera,2016,Koenigsegg,Regera,Sweden,,,900.0,,,,,,1757,15781,3589,V8,"Mid-Engined, Rear-Wheel Drive",,,announced,images/2016-koenigsegg-regera.png,https://forza.fandom.com/wiki/Koenigsegg_Regera
2011-lamborghini-sesto-elemento,2011 Lamborghini Sesto Elemento,2011,Lamborghini,Sesto Elemento,Italy,,,,,,,,,571,398,2202,V10,"Mid-Engined, All-Wheel Drive",,,announced,images/2011-lamborghini-sesto-elemento.png,https://forza.fandom.com/wiki/Lamborghini_Sesto_Elemento
2012-lamborghini-aventador-lp700-4,2012 Lamborghini Aventador LP700-4,2012,Lamborghini,Aventador LP700-4,Italy,,,,,,,,,700,509,3472,V12,"Mid-Engined, All-Wheel Drive",,,announced,images/2012-lamborghini-aventador-lp700-4.png,https://forza.fandom.com/wiki/Lamborghini_Aventador_LP700-4
2012-lamborghini-gallardo-lp570-4-spyder-performante,2012 Lamborghini Gallardo LP 570-4 Spyder Performante,2012,Lamborghini,Gallardo LP 570-4 Spyder Performante,ita,,,,,,,,,562,398,3274,V10,"Mid-Engined, All-Wheel Drive",,,announced,images/2012-lamborghini-gallardo-lp570-4-spyder-performante.png,https://forza.fandom.com/wiki/Lamborghini_Gallardo_LP570-4_Spyder_Performante
2013-lamborghini-veneno,2013 Lamborghini Veneno,2013,Lamborghini,Veneno,Italy,,,,,,,,,740,508,3218,V12,"Mid-Engined, All-Wheel Drive",,,announced,images/2013-lamborghini-veneno.png,https://forza.fandom.com/wiki/Lamborghini_Veneno
2014-lamborghini-hurac-n-lp-610-4,2014 Lamborghini Huracán LP 610-4,2014,Lamborghini,Huracán LP 610-4,Italy,S1,738,7.8,6.5,7.8,7.4,7.0,5.4,602,413,3135,V10,"Mid-Engined, All-Wheel Drive",200000,msu,announced,images/2014-lamborghini-hurac-n-lp-610-4.png,https://forza.fandom.com/wiki/Lamborghini_Hurac%C3%A1n_LP_610-4
2016-lamborghini-centenario-lp-770-4,2016 Lamborghini Centenario LP 770-4,2016,Lamborghini,Centenario LP 770-4,Italy,S1,792,8.3,7.7,8.7,8.0,8.6,5.2,759,508,3527,V12,"Mid-Engined, All-Wheel Drive",1750000,h,announced,images/2016-lamborghini-centenario-lp-770-4.png,https://forza.fandom.com/wiki/Lamborghini_Centenario_LP_770-4
1997-lotus-elise-gt1,1997 Lotus Elise GT1,1997,Lotus,Elise GT1,United Kingdom,,,,,,,,,350,295,2425,V8,"Mid-Engined, Rear-Wheel Drive",,,announced,images/1997-lotus-elise-gt1.png,https://forza.fandom.com/wiki/Lotus_Elise_GT1
2024-lucid-air-sapphire,2024 Lucid Air Sapphire,2024,Lucid,Air Sapphire,United States,,,900.0,,,,,,1247,1411,5298,,"Rear-Engined, All-Wheel Drive",,,announced,images/2024-lucid-air-sapphire.png,https://forza.fandom.com/wiki/Lucid_Air_Sapphire
1986-mg-metro-6r4,1986 MG Metro 6R4,1986,MG,Metro 6R4,United Kingdom,A,627,4.6,5.7,6.8,6.9,5.8,8.9,410,270,2271,V6,"Mid-Engined, All-Wheel Drive",220000,ram,auto,images/1986-mg-metro-6r4.png,https://forza.fandom.com/wiki/MG_Metro_6R4
